Player,Nation,Pos,Age,Playing Time_MP,Playing Time.1_Starts,Playing Time.2_Min,Playing Time.3_90s,Performance_Gls,Performance.1_Ast,Performance.2_G+A,Performance.3_G-PK,Performance.4_PK,Performance.5_PKatt,Performance.6_CrdY,Performance.7_CrdR,Expected_xG,Expected.1_npxG,Expected.2_xAG,Expected.3_npxG+xAG,Progression_PrgC,Progression.1_PrgP,Progression.2_PrgR,Per 90 Minutes_Gls,Per 90 Minutes.1_Ast,Per 90 Minutes.2_G+A,Per 90 Minutes.3_G-PK,Per 90 Minutes.4_G+A-PK,Per 90 Minutes.5_xG,Per 90 Minutes.6_xAG,Per 90 Minutes.7_xG+xAG,Per 90 Minutes.8_npxG,Per 90 Minutes.9_npxG+xAG,MP,Playing Time_Starts,Playing Time.1_Min,Playing Time.2_90s
Felix Garreta,es ESP,DF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,95.0,1.1
Loren Morón,es ESP,FW,28.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,1.01,1.01,0.0,0.0,0.0,0.0,0.0,4.0,0.0,89.0,1.0
Roberto González,es ESP,"FW,MF",21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.48,2.0,0.0,54.0,0.6
Daniel Guerrero,es ESP,FW,17.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,1.0,0.0,24.0,0.3
Enrique,es ESP,MF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.2
Fran Delgado,es ESP,DF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.1
Ricardo Visus,es ESP,DF,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Francisco Barbosa,es ESP,GK,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Daniel Martín,es ESP,GK,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
José Alonso Lara,es ESP,MF,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Germán García,es ESP,GK,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Víctor Camarasa,es ESP,MF,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Nemanja Gudelj,rs SRB,"DF,MF",30.0,,,,,4.0,1.0,5.0,4.0,0.0,0.0,13.0,0.0,2.5,2.5,0.5,3.0,34.0,148.0,10.0,0.08,0.02,0.1,0.08,0.1,0.06,0.01,0.07,0.06,0.07,53.0,49.0,4464.0,49.6
Ivan Rakitić,hr CRO,MF,34.0,,,,,2.0,6.0,8.0,1.0,1.0,2.0,6.0,1.0,4.5,2.9,3.3,6.2,66.0,251.0,130.0,0.05,0.15,0.2,0.03,0.18,0.14,0.1,0.23,0.09,0.19,51.0,41.0,3513.0,39.0
Yassine Bounou,ma MAR,GK,31.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.0,3186.0,35.4
Marcos Acuña,ar ARG,"DF,MF",30.0,,,,,3.0,4.0,7.0,3.0,0.0,0.0,15.0,4.0,1.5,1.5,5.0,6.4,65.0,139.0,129.0,0.09,0.11,0.2,0.09,0.2,0.05,0.16,0.2,0.05,0.2,45.0,35.0,3143.0,34.9
Jesús Navas,es ESP,"DF,MF",36.0,,,,,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,3.6,4.0,69.0,155.0,293.0,0.0,0.11,0.11,0.0,0.11,0.01,0.11,0.13,0.01,0.13,49.0,32.0,3133.0,34.8
Óliver Torres,es ESP,"MF,FW",27.0,,,,,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,3.9,6.6,52.0,177.0,205.0,0.09,0.09,0.18,0.09,0.18,0.09,0.13,0.23,0.09,0.23,44.0,38.0,2966.0,33.0
Youssef En-Nesyri,ma MAR,FW,25.0,,,,,18.0,1.0,19.0,18.0,0.0,0.0,4.0,0.0,12.4,12.4,2.0,14.4,23.0,17.0,108.0,0.56,0.03,0.59,0.56,0.59,0.44,0.07,0.51,0.44,0.51,48.0,31.0,2875.0,31.9
Érik Lamela,ar ARG,"FW,MF",30.0,,,,,9.0,3.0,12.0,9.0,0.0,0.0,17.0,1.0,6.7,6.7,2.8,9.5,84.0,97.0,212.0,0.29,0.1,0.39,0.29,0.39,0.25,0.11,0.35,0.25,0.35,49.0,27.0,2776.0,30.8
Fernando,br BRA,MF,35.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,0.8,1.2,12.0,113.0,17.0,0.0,0.03,0.03,0.0,0.03,0.01,0.03,0.04,0.01,0.04,36.0,29.0,2690.0,29.9
Joan Jordán,es ESP,MF,28.0,,,,,2.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,1.0,1.0,0.7,1.7,11.0,153.0,28.0,0.07,0.07,0.14,0.07,0.14,0.04,0.03,0.07,0.04,0.07,39.0,28.0,2566.0,28.5
Gonzalo Montiel,ar ARG,DF,25.0,,,,,1.0,3.0,4.0,1.0,0.0,0.0,13.0,1.0,0.9,0.9,2.4,3.3,42.0,83.0,118.0,0.04,0.11,0.15,0.04,0.15,0.04,0.11,0.15,0.04,0.15,43.0,25.0,2373.0,26.4
Tanguy Nianzou,fr FRA,DF,20.0,,,,,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.8,0.8,0.4,1.2,6.0,80.0,1.0,0.12,0.0,0.12,0.12,0.12,0.04,0.02,0.06,0.04,0.06,30.0,26.0,2256.0,25.1
Loïc Bade,fr FRA,DF,22.0,,,,,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.6,0.6,0.1,0.6,8.0,56.0,2.0,0.08,0.0,0.08,0.08,0.08,0.03,0.0,0.03,0.03,0.03,27.0,24.0,2185.0,24.3
Alex Telles,br BRA,"DF,FW",29.0,,,,,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.8,0.8,2.1,2.9,38.0,62.0,121.0,0.0,0.13,0.13,0.0,0.13,0.03,0.09,0.12,0.03,0.12,38.0,23.0,2144.0,23.8
Marko Dmitrović,rs SRB,GK,30.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,2124.0,23.6
Suso,es ESP,"FW,MF",28.0,,,,,3.0,5.0,8.0,3.0,0.0,0.0,2.0,0.0,1.9,1.9,3.5,5.4,46.0,120.0,150.0,0.15,0.25,0.4,0.15,0.4,0.11,0.2,0.31,0.11,0.31,43.0,16.0,1800.0,20.0
Rafa Mir,es ESP,"MF,FW",25.0,,,,,8.0,1.0,9.0,8.0,0.0,0.0,4.0,0.0,7.9,7.9,1.0,8.9,15.0,13.0,68.0,0.41,0.05,0.46,0.41,0.46,0.46,0.06,0.52,0.46,0.52,36.0,20.0,1742.0,19.4
Lucas Ocampos,ar ARG,"FW,MF",28.0,,,,,5.0,2.0,7.0,2.0,3.0,3.0,8.0,0.0,6.1,3.7,1.9,5.6,49.0,55.0,164.0,0.26,0.1,0.36,0.1,0.21,0.33,0.1,0.44,0.2,0.31,29.0,17.0,1735.0,19.3
Karim Rekik,nl NED,DF,27.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.1,0.9,14.0,52.0,8.0,0.06,0.06,0.12,0.06,0.12,0.06,0.01,0.06,0.06,0.06,22.0,18.0,1500.0,16.7
Bryan Gil,es ESP,"FW,DF",21.0,,,,,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,3.2,3.2,1.1,4.3,45.0,38.0,120.0,0.13,0.2,0.33,0.13,0.33,0.21,0.07,0.29,0.21,0.29,24.0,16.0,1352.0,15.0
Papu Gómez,ar ARG,"FW,MF",34.0,,,,,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,2.0,3.8,39.0,99.0,82.0,0.07,0.13,0.2,0.07,0.2,0.12,0.14,0.26,0.12,0.26,27.0,14.0,1346.0,15.0
Isco,es ESP,"MF,FW",30.0,,,,,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,1.9,3.0,21.0,65.0,49.0,0.07,0.21,0.29,0.07,0.29,0.08,0.14,0.23,0.08,0.23,19.0,16.0,1257.0,14.0
Pape Gueye,sn SEN,MF,23.0,,,,,1.0,3.0,4.0,1.0,0.0,0.0,6.0,3.0,1.3,1.3,1.2,2.4,9.0,59.0,27.0,0.08,0.23,0.31,0.08,0.31,0.1,0.09,0.18,0.1,0.18,16.0,15.0,1171.0,13.0
Carmona,es ESP,DF,20.0,,,,,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,1.3,1.3,0.6,1.9,14.0,26.0,28.0,0.18,0.09,0.28,0.18,0.28,0.12,0.06,0.18,0.12,0.18,15.0,10.0,977.0,10.9
Marcão,br BRA,DF,26.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,11.0,9.0,717.0,8.0
Kike Salas,es ESP,DF,20.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.2,0.2,0.5,0.7,5.0,24.0,1.0,0.14,0.14,0.28,0.14,0.28,0.03,0.09,0.12,0.03,0.12,10.0,7.0,643.0,7.1
Thomas Delaney,dk DEN,MF,30.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.6,3.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.09,0.06,0.09,12.0,5.0,539.0,6.0
Kasper Dolberg,dk DEN,FW,24.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,5.0,4.0,15.0,0.0,0.29,0.29,0.0,0.29,0.06,0.17,0.23,0.06,0.23,8.0,3.0,307.0,3.4
Manuel Sebastián,es ESP,MF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,2.0,2.0,149.0,1.7
Adnan Januzaj,be BEL,"FW,MF",27.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,6.0,1.0,130.0,1.4
Jesús Corona,mx MEX,FW,29.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,3.0,3.0,9.0,0.81,0.0,0.81,0.81,0.81,0.37,0.2,0.57,0.37,0.57,4.0,1.0,111.0,1.2
Carlos Álvarez,es ESP,MF,18.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93,0.0,0.93,0.93,0.93,0.0,0.0,0.0,0.0,0.0,3.0,1.0,97.0,1.1
Diego Iturralde,es ESP,DF,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.5
Nacho Quintana,es ESP,MF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,0.0,29.0,0.3
Iván Romero,es ESP,MF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.1
Pedro Ortiz,es ESP,MF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Matías Árbol,es ESP,GK,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Lulo Dasilva,es ESP,MF,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Xavi Sintes,es ESP,MF,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Alberto López,es ESP,GK,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Marius Herzig,de GER,GK,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Munir El Haddadi,ma MAR,"FW,MF",26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Pablo Pérez,es ESP,DF,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Giorgi Mamardashvili,ge GEO,GK,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,3796.0,42.2
Samuel Lino,br BRA,"FW,MF",22.0,,,,,8.0,2.0,10.0,8.0,0.0,0.0,4.0,0.0,7.8,7.7,2.1,9.8,144.0,93.0,260.0,0.23,0.06,0.29,0.23,0.29,0.24,0.07,0.31,0.24,0.31,41.0,36.0,3148.0,35.0
José Luis Gayà,es ESP,DF,27.0,,,,,1.0,3.0,4.0,1.0,0.0,1.0,4.0,0.0,1.9,1.1,5.5,6.5,74.0,124.0,200.0,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.04,0.22,34.0,34.0,3009.0,33.4
Domingos André Ribeiro Almeida,pt POR,MF,22.0,,,,,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,3.4,4.9,74.0,197.0,71.0,0.06,0.16,0.23,0.06,0.23,0.05,0.12,0.17,0.05,0.17,38.0,31.0,2774.0,30.8
Mouctar Diakhaby,gn GUI,DF,25.0,,,,,3.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,2.7,2.7,0.3,3.0,19.0,86.0,11.0,0.11,0.0,0.11,0.11,0.11,0.1,0.01,0.11,0.1,0.11,30.0,29.0,2491.0,27.7
Yunus Musah,us USA,MF,19.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,1.8,1.8,1.8,3.6,72.0,93.0,101.0,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.15,0.08,0.15,37.0,29.0,2347.0,26.1
Thierry Correia,pt POR,DF,23.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.1,1.4,60.0,104.0,122.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,28.0,25.0,2129.0,23.7
Dimitri Foulquier,fr FRA,DF,29.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.7,1.8,51.0,70.0,84.0,0.0,0.09,0.09,0.0,0.09,0.01,0.09,0.09,0.01,0.09,33.0,19.0,1944.0,21.6
Eray Cömert,ch SUI,DF,24.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.5,0.5,0.1,0.6,6.0,54.0,1.0,0.05,0.0,0.05,0.05,0.05,0.03,0.0,0.03,0.03,0.03,25.0,21.0,1882.0,20.9
Hugo Guillamón,,"DF,MF",22.0,,,,,1.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,,,,,,,,0.05,0.2,0.25,0.0,0.2,,,,,,29.0,21.0,1805.0,20.1
Cenk Özkacar,tr TUR,DF,21.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,23.0,61.0,2.0,0.0,0.05,0.05,0.0,0.05,0.05,0.02,0.07,0.05,0.07,21.0,17.0,1710.0,19.0
Gabriel Paulista,br BRA,DF,31.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.7,0.7,0.3,0.9,12.0,61.0,1.0,0.05,0.0,0.05,0.05,0.05,0.04,0.02,0.05,0.04,0.05,23.0,20.0,1684.0,18.7
Edinson Cavani,uy URU,FW,35.0,,,,,7.0,2.0,9.0,5.0,2.0,3.0,7.0,0.0,6.0,3.6,1.7,5.3,8.0,20.0,53.0,0.37,0.11,0.48,0.27,0.37,0.37,0.11,0.48,0.22,0.33,28.0,23.0,1682.0,18.7
Justin Kluivert,nl NED,"FW,MF",23.0,,,,,8.0,1.0,9.0,7.0,1.0,1.0,5.0,0.0,6.6,5.9,2.4,8.2,58.0,33.0,126.0,0.43,0.05,0.49,0.38,0.43,0.41,0.15,0.56,0.36,0.51,29.0,18.0,1669.0,18.5
Hugo Duro,es ESP,FW,22.0,,,,,2.0,2.0,4.0,2.0,0.0,1.0,5.0,0.0,4.4,3.6,1.1,4.7,9.0,19.0,67.0,0.11,0.11,0.23,0.11,0.23,0.29,0.07,0.36,0.23,0.31,34.0,13.0,1590.0,17.7
Samu Castillejo,es ESP,"FW,MF",27.0,,,,,4.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,2.9,2.9,3.0,5.9,54.0,76.0,115.0,0.25,0.0,0.25,0.25,0.25,0.19,0.2,0.39,0.19,0.39,26.0,18.0,1418.0,15.8
Nicolás González,es ESP,MF,20.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.3,2.8,21.0,81.0,17.0,0.06,0.06,0.13,0.06,0.13,0.1,0.09,0.18,0.1,0.18,26.0,18.0,1405.0,15.6
Ilaix Moriba,gn GUI,MF,19.0,,,,,1.0,2.0,3.0,1.0,0.0,0.0,7.0,2.0,1.2,1.2,1.0,2.2,16.0,67.0,30.0,0.07,0.15,0.22,0.07,0.22,0.11,0.09,0.19,0.11,0.19,28.0,12.0,1220.0,13.6
Toni Lato,es ESP,"DF,MF",24.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.8,18.0,40.0,47.0,0.08,0.08,0.16,0.08,0.16,0.08,0.09,0.18,0.08,0.18,27.0,12.0,1154.0,12.8
Javier Guerra,es ESP,MF,19.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.0,17.0,30.0,16.0,0.15,0.0,0.15,0.15,0.15,0.13,0.17,0.3,0.13,0.3,10.0,6.0,605.0,6.7
Marcos André,br BRA,"FW,MF",25.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.5,1.3,0.4,1.8,2.0,7.0,20.0,0.16,0.0,0.16,0.16,0.16,0.29,0.09,0.38,0.27,0.36,19.0,4.0,553.0,6.1
Diego López,es ESP,"FW,MF",20.0,,,,,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,3.5,3.5,1.1,4.7,21.0,17.0,46.0,0.6,0.2,0.81,0.6,0.81,0.71,0.22,0.94,0.71,0.94,10.0,5.0,447.0,5.0
Jesus Vazquez,es ESP,"DF,MF",19.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,4.0,13.0,17.0,0.0,0.22,0.22,0.0,0.22,0.05,0.08,0.14,0.05,0.14,12.0,4.0,416.0,4.6
Francisco Perez,es ESP,"FW,MF",19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,11.0,0.0,252.0,2.8
Carlos Soler,es ESP,MF,25.0,,,,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9,0.2,0.2,0.4,3.0,13.0,7.0,0.37,0.0,0.37,0.0,0.0,0.35,0.08,0.43,0.06,0.14,3.0,3.0,242.0,2.7
Cristhian Mosquera,co COL,DF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,4.0,2.0,235.0,2.6
Maxi Gómez,uy URU,FW,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.34,0.18,0.34,3.0,0.0,108.0,1.2
Alberto Marí,es ESP,"FW,MF",21.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,6.0,1.05,0.0,1.05,1.05,1.05,0.25,0.0,0.25,0.25,0.25,5.0,0.0,86.0,1.0
Iago Herrerín,es ESP,GK,34.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,14.0,0.2
Ruben Lendinez,es ESP,DF,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,10.0,0.1
Mario Dominguez,es ESP,MF,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Jesús Santiago,es ESP,MF,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Charlie Perez,es ESP,GK,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Tiago Ribeiro,pt POR,MF,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Emilio Bernard,es ESP,GK,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Koba Koindredi,fr FRA,MF,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Uroš Račić,rs SRB,MF,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Manu Vallejo,es ESP,"FW,MF",25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Cristian,es ESP,GK,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Jaume Doménech,es ESP,GK,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Jordi Masip,es ESP,GK,33.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,2597.0,28.9
Javi Sánchez,es ESP,DF,25.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.7,0.7,0.1,0.8,21.0,74.0,5.0,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,34.0,30.0,2561.0,28.5
Kike Pérez,es ESP,MF,25.0,,,,,2.0,3.0,5.0,2.0,0.0,1.0,11.0,0.0,2.3,2.3,2.2,4.5,54.0,134.0,82.0,0.07,0.11,0.18,0.07,0.18,0.09,0.09,0.17,0.09,0.17,39.0,30.0,2508.0,27.9
Gonzalo Plata,ec ECU,FW,21.0,,,,,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,3.7,3.7,3.1,6.8,97.0,54.0,213.0,0.04,0.19,0.22,0.04,0.22,0.15,0.12,0.27,0.15,0.27,36.0,27.0,2417.0,26.9
Joaquín Fernández,es ESP,DF,26.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.6,6.0,42.0,3.0,0.04,0.0,0.04,0.04,0.04,0.02,0.0,0.03,0.02,0.03,29.0,26.0,2336.0,26.0
Óscar Plano,es ESP,"FW,MF",31.0,,,,,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.8,2.8,1.6,4.4,30.0,73.0,95.0,0.04,0.08,0.12,0.04,0.12,0.12,0.07,0.19,0.12,0.19,36.0,23.0,2199.0,24.4
Monchu,es ESP,MF,22.0,,,,,3.0,2.0,5.0,3.0,0.0,0.0,11.0,0.0,2.4,2.4,2.0,4.4,17.0,111.0,25.0,0.12,0.08,0.21,0.12,0.21,0.11,0.09,0.2,0.11,0.2,35.0,25.0,2186.0,24.3
Álvaro Aguado,es ESP,MF,26.0,,,,,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.2,3.2,29.0,139.0,50.0,0.04,0.09,0.13,0.04,0.13,0.05,0.11,0.15,0.05,0.15,36.0,20.0,2023.0,22.5
Iván Fresneda,es ESP,DF,17.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.1,48.0,62.0,101.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,24.0,18.0,1814.0,20.2
Roque Mesa,es ESP,MF,33.0,,,,,2.0,1.0,3.0,2.0,0.0,0.0,12.0,1.0,1.4,1.4,1.0,2.4,29.0,116.0,24.0,0.1,0.05,0.15,0.1,0.15,0.08,0.06,0.13,0.08,0.13,31.0,22.0,1797.0,20.0
Jawad El Yamiq,ma MAR,DF,30.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1,1.1,0.4,1.6,21.0,55.0,3.0,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,25.0,19.0,1608.0,17.9
Sergio Escudero,es ESP,DF,32.0,,,,,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,1.8,3.3,17.0,40.0,37.0,0.12,0.06,0.18,0.12,0.18,0.09,0.11,0.2,0.09,0.2,24.0,18.0,1529.0,17.0
Lucas Olaza,uy URU,DF,28.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.0,1.4,12.0,66.0,90.0,0.0,0.06,0.06,0.0,0.06,0.02,0.06,0.08,0.02,0.08,23.0,16.0,1494.0,16.6
Cyle Larin,ca CAN,FW,27.0,,,,,8.0,3.0,11.0,6.0,2.0,2.0,4.0,0.0,7.5,5.9,2.6,8.5,25.0,17.0,72.0,0.49,0.18,0.67,0.37,0.55,0.46,0.16,0.62,0.36,0.52,19.0,16.0,1469.0,16.3
