Player,Nation,Pos,Age,Playing Time_MP,Playing Time.1_Starts,Playing Time.2_Min,Playing Time.3_90s,Performance_Gls,Performance.1_Ast,Performance.2_G+A,Performance.3_G-PK,Performance.4_PK,Performance.5_PKatt,Performance.6_CrdY,Performance.7_CrdR,Expected_xG,Expected.1_npxG,Expected.2_xAG,Expected.3_npxG+xAG,Progression_PrgC,Progression.1_PrgP,Progression.2_PrgR,Per 90 Minutes_Gls,Per 90 Minutes.1_Ast,Per 90 Minutes.2_G+A,Per 90 Minutes.3_G-PK,Per 90 Minutes.4_G+A-PK,Per 90 Minutes.5_xG,Per 90 Minutes.6_xAG,Per 90 Minutes.7_xG+xAG,Per 90 Minutes.8_npxG,Per 90 Minutes.9_npxG+xAG,MP,Playing Time_Starts,Playing Time.1_Min,Playing Time.2_90s
Simone Padoin,it ITA,"DF,MF",34.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.1,1.2,58.0,80.0,55.0,0.0,0.09,0.09,0.0,0.09,0.01,0.05,0.06,0.01,0.06,32.0,23.0,2018.0,22.4
Paolo Faragò,it ITA,"MF,DF",25.0,,,,,1.0,2.0,3.0,1.0,0.0,0.0,9.0,1.0,2.0,2.0,2.0,4.0,37.0,61.0,105.0,0.05,0.09,0.14,0.05,0.14,0.11,0.11,0.21,0.11,0.21,29.0,20.0,1973.0,21.9
Luca Cigarini,it ITA,MF,32.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.6,0.6,2.9,3.4,24.0,149.0,7.0,0.0,0.09,0.09,0.0,0.09,0.03,0.15,0.18,0.03,0.18,28.0,23.0,1926.0,21.4
Filippo Romagna,it ITA,DF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.0,0.5,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,21.0,19.0,1744.0,19.4
Filip Bradarić,hr CRO,MF,26.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.5,1.1,11.0,94.0,11.0,0.0,0.12,0.12,0.0,0.12,0.03,0.03,0.06,0.03,0.06,29.0,17.0,1520.0,16.9
Ragnar Klavan,ee EST,DF,32.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,14.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,15.0,15.0,1230.0,13.7
Lucas Castro,ar ARG,MF,29.0,,,,,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,2.2,3.3,22.0,46.0,61.0,0.09,0.27,0.37,0.09,0.37,0.11,0.22,0.33,0.11,0.33,13.0,11.0,986.0,11.0
Luca Pellegrini,it ITA,DF,19.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.9,0.9,32.0,25.0,45.0,0.0,0.1,0.1,0.0,0.1,0.0,0.08,0.09,0.0,0.09,12.0,11.0,940.0,10.4
Charalambos Lykogiannis,gr GRE,DF,24.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.6,1.8,17.0,24.0,22.0,0.0,0.1,0.1,0.0,0.1,0.03,0.17,0.2,0.03,0.2,12.0,10.0,920.0,10.2
Diego Farias,br BRA,FW,28.0,,,,,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.3,2.9,19.0,20.0,67.0,0.32,0.0,0.32,0.32,0.32,0.34,0.04,0.37,0.34,0.37,19.0,9.0,850.0,9.4
